name,leisure,natural,mean
Common Green,park,,0.4346591200938621
,playground,,0.3043577011467982
,park,,0.3147282165820706
My Waterway@Punggol,park,,0.2964038920051238
,playground,,
Common Green,park,,0.416218844083739
,playground,,0.43385809499693284
,playground,,0.3994067352992497
,playground,,0.23718058652032242
,playground,,0.17566347716194258
Common Green,park,,0.29753128475816315
,playground,,0.24106792844230487
,playground,,0.12309876292841208
,park,,0.40660456660608996
,park,,0.1325461049727581
,playground,,0.14742628685657172
,playground,,0.22869134736877772
,playground,,0.26366190621500035
,park,,0.3440963831195005
,playground,,
Common Green,park,,0.451421972820513
Punggol Waterway Park,park,,0.2804516682631825
,,scrub,0.5001876979743347
