variant,window,slope,radiation,spearman_vs_baseline,cities_sign_flip,mean_abs_shr_delta,mean_inad_delta
jja|slope0.8|open_sun,jja,0.8,open_sun,0.9761904761904763,1,0.16324688661246245,-0.0729951132681119
jja|slope0.8|shaded,jja,0.8,shaded,0.7142857142857144,1,0.38133906913582033,-0.14857817250324726
jja|slope1.0|open_sun,jja,1.0,open_sun,1.0,0,0.0,0.0
jja|slope1.0|shaded,jja,1.0,shaded,0.6666666666666669,1,0.2726152281541973,-0.10349950414953442
jja|slope1.2|open_sun,jja,1.2,open_sun,0.9285714285714287,1,0.1632468866124624,0.07096288752351354
jja|slope1.2|shaded,jja,1.2,shaded,0.6666666666666669,2,0.23030245462638937,-0.05841092207319815
july|slope0.8|open_sun,july,0.8,open_sun,0.9761904761904763,1,0.19858637469580626,-0.08851287180268055
july|slope0.8|shaded,july,0.8,shaded,0.7142857142857144,1,0.3982922352516707,-0.1552055355910943
july|slope1.0|open_sun,july,1.0,open_sun,0.9761904761904763,0,0.044174360104179716,-0.01978847065112909
july|slope1.0|shaded,july,1.0,shaded,0.6666666666666669,1,0.29380668579901037,-0.11245899076341277
july|slope1.2|open_sun,july,1.2,open_sun,0.9761904761904763,1,0.11023765448744675,0.048727605983520536
july|slope1.2|shaded,july,1.2,shaded,0.6666666666666669,2,0.23487132418880302,-0.06851461424444497
mjjas|slope0.8|open_sun,mjjas,0.8,open_sun,0.9761904761904763,1,0.1150899468967959,-0.05156650456962528
mjjas|slope0.8|shaded,mjjas,0.8,shaded,0.6666666666666669,1,0.32459166628552083,-0.12550351421328826
mjjas|slope1.0|open_sun,mjjas,1.0,open_sun,1.0,1,0.0601961746445831,0.026772740663548684
mjjas|slope1.0|shaded,mjjas,1.0,shaded,0.6666666666666669,2,0.23709197089545822,-0.0736135605169342
mjjas|slope1.2|open_sun,mjjas,1.2,open_sun,0.9285714285714287,1,0.2354822961859622,0.0993931505952258
mjjas|slope1.2|shaded,mjjas,1.2,shaded,0.6666666666666669,2,0.2358891070381886,-0.027349767511586614
